customer_id,customer_name,customer_phone
CUS00001,Radha Boase,+915141553865
CUS00002,Warda Soni,0012601817
CUS00003,Quincy Gade,07732627688
CUS00004,Aarav Hayre,09416382219
CUS00005,Ekiya More,06595175353
CUS00006,Dhruv Dasgupta,09737649876
CUS00007,Urishilla Nayak,6976829696
CUS00008,Dominic Dasgupta,9881564364
CUS00009,Yashica Keer,7141851621
CUS00010,Baghyawati Badami,07897018163
CUS00011,Bhavika Sundaram,+917689563233
CUS00012,Zarna Batra,05484965407
CUS00013,Vamakshi Kanda,+912183263675
CUS00014,Jalsa Bal,08996840780
CUS00015,Radhika Parsa,+911373334323
CUS00016,Bakhshi Madan,00466343538
CUS00017,Garima Luthra,9093112113
CUS00018,Neel Kota,07301411839
CUS00019,Mugdha Bumb,0831740981
CUS00020,Gauri Bala,08342576168
CUS00021,Vedhika Mall,3935037449
CUS00022,Forum Karan,+917023028911
CUS00023,Amara Murthy,08682142226
CUS00024,Meghana Kari,03481451651
CUS00025,Laksh Murthy,2015598325
CUS00026,Hemani Ramanathan,+911683485483
CUS00027,Jhalak Toor,06470146045
CUS00028,Yashasvi Agrawal,00040017368
CUS00029,Maanav Varkey,4031660872
CUS00030,Tanay Sha,9823591380
CUS00031,Geetika Radhakrishnan,+919157141424
CUS00032,Vedika Balasubramanian,9803136518
CUS00033,Radha Seth,+917421375860
CUS00034,Ishwar Bora,8200800206
CUS00035,Chatura Dhingra,00372774646
CUS00036,Zaitra Kanda,1127543317
CUS00037,Quincy Sathe,+916616856695
CUS00038,Tanmayi Divan,+912438968786
CUS00039,Jasmit Arya,0379865933
CUS00040,Janya Sundaram,+917582420009
CUS00041,Dakshesh Borra,+914500542318
CUS00042,Zilmil Chopra,5837915930
CUS00043,Indira Datta,+915419539313
CUS00044,Gavin Madan,+912931607352
CUS00045,Nitesh Sen,+910726614065
CUS00046,Harita Arya,+910681635965
CUS00047,Xalak Misra,00112308100
CUS00048,Azad Bali,4995917609
CUS00049,Yashica Chana,08771081270
CUS00050,Anay Krishna,01351320970
CUS00051,Kavya Arya,8548719113
CUS00052,Ganga Dyal,7461062670
CUS00053,Quincy Dutta,8047430093
CUS00054,Neha Aggarwal,+915016476400
CUS00055,Ladli Madan,0995747702
CUS00056,Darpan Kalita,5964665449
CUS00057,Arin Tara,9545743012
CUS00058,Oviya Reddy,+913121599643
CUS00059,Sai Zacharia,9973918823
CUS00060,Rajeshri Manda,06345239964
CUS00061,Jyoti Karpe,7680270019
CUS00062,Vaishnavi Sawhney,+917347401573
CUS00063,Hiral Lalla,2578644357
CUS00064,Abhimanyu Sastry,8794515061
CUS00065,Gabriel Tata,3163027062
CUS00066,Laban Sani,07498154853
CUS00067,Pratyush Kashyap,9953835736
CUS00068,Vasatika Luthra,+915374625633
CUS00069,Idika Suresh,03469944758
CUS00070,Qadim Memon,+913741946776
CUS00071,Yashodhara Reddy,+919736224113
CUS00072,Chakrika Pradhan,5784388047
CUS00073,Damini Lala,05734837186
CUS00074,Forum Kuruvilla,+910312045022
CUS00075,Lajita Karnik,6036260493
CUS00076,Veda Borra,+916423343623
CUS00077,Abha Nagi,1800000958
CUS00078,Victor Guha,0384833382
CUS00079,Liam Choudhry,07800200626
CUS00080,Tanmayi Dash,+919976294384
CUS00081,George Magar,04513004634
CUS00082,Ekaja Nazareth,5552044910
CUS00083,Anusha Din,03614594078
CUS00084,Yauvani Sridhar,+915867285102
CUS00085,Manthan Murty,7154055226
CUS00086,Triveni Lalla,+912737044715
CUS00087,Zilmil Venkataraman,+917512303849
CUS00088,Manbir Sahni,+919635781740
CUS00089,Devansh Nayak,2733720876
CUS00090,Anvi Dubey,5853231451
CUS00091,Aarush Nagi,6170405945
CUS00092,Deepa Oommen,4919939484
CUS00093,Vaishnavi Mane,6360370889
CUS00094,Yachana Chacko,08830552406
CUS00095,Ansh Ramakrishnan,06870478061
CUS00096,Chandani Sampath,08731357890
CUS00097,Chameli Subramaniam,01212311840
CUS00098,Krishna Reddy,1523034598
CUS00099,Urvashi Choudhury,+916111578842
CUS00100,Hemang Bajwa,+914104915254
CUS00101,Neelima Datta,3145008773
CUS00102,Maanas Johal,04487885103
CUS00103,Geetika Sharma,+914348335750
CUS00104,Isaiah Kanda,02688673058
CUS00105,Turvi Shukla,0235328050
CUS00106,Charan Srivastava,09565091913
CUS00107,Gaurang Gandhi,+912445169270
CUS00108,Pahal Kalita,+913740655746
CUS00109,Kritika Swamy,+910266595056
CUS00110,Michael Bhatt,06068062564
CUS00111,Advik Kapur,+917412121251
CUS00112,Anya Oak,01226732682
CUS00113,Patrick Solanki,8212953667
CUS00114,Jasmit Narang,7577929324
CUS00115,Ayush Prabhu,2564066074
CUS00116,Ekanta Saraf,+917015270810
CUS00117,Naveen Virk,6775872701
CUS00118,Bakhshi Misra,5770272304
CUS00119,William Sarkar,02664741366
CUS00120,Chakrika Rout,06220586102
CUS00121,Aditya Krishnamurthy,+911667265849
CUS00122,Jai Raman,1005317709
CUS00123,Kashvi Chokshi,0498336309
CUS00124,Leena Thaker,+912907341966
CUS00125,Anjali Maharaj,+916658850428
CUS00126,Patrick Kar,+910684861426
CUS00127,Warinder Gupta,1705923808
CUS00128,Jalsa Desai,5076566978
CUS00129,Mekhala Raju,03119534772
CUS00130,Imaran Ray,05183402126
CUS00131,Laban Raman,1779064131
CUS00132,Leela Balasubramanian,4992699843
CUS00133,Ishwar Wason,00552926941
CUS00134,Qasim Vohra,+912355731196
CUS00135,Aachal Talwar,+916897383270
CUS00136,Anvi Kala,+918648264434
CUS00137,Wriddhish Rajagopal,08084447950
CUS00138,Robert Brahmbhatt,08034796278
CUS00139,Lekha Shroff,1807772358
CUS00140,Reyansh Bera,0151249201
CUS00141,Oni Nair,4268550267
CUS00142,Hemal Boase,+916344659931
CUS00143,Mahika Naidu,+916362872507
CUS00144,Pahal Nadkarni,+916567283595
CUS00145,Warhi Devi,1426265883
CUS00146,Victor Gopal,+912290608437
CUS00147,Madhavi Dayal,+914504174254
CUS00148,Janya Madan,6332776826
CUS00149,Sanya Radhakrishnan,02441309674
CUS00150,Abdul Basu,+912824209409
CUS00151,Isha Prakash,2357196794
CUS00152,Maanas Lalla,4071783619
CUS00153,Nihal Banerjee,+919405369785
CUS00154,Onkar Prakash,1733325732
