driver_id,driver_name,driver_phone,license_plate,driver_vehicle_model,car_type,driver_rating,driver_experience_years
DRV00001,Jairaj Sridhar,+918847549451,MH19 RU 6202,Tata Nexon,SUV,4.1,9
DRV00002,Lipika Kunda,+913650237690,MH31 SW 9913,WagonR,Hatchback,4.6,4
DRV00003,Vaishnavi Bhardwaj,05007091009,MH48 PH 8933,Hyundai Creta,SUV,3.7,19
DRV00004,Elijah Dass,+915086013779,MH22 MW 0641,Swift Dzire,Sedan,4.1,15
DRV00005,Warinder Mahajan,06624284970,MH6 ZJ 8090,Toyota Innova,SUV,4.6,6
DRV00006,Nathan Brahmbhatt,2011422501,MH21 TV 1248,Tata Nexon,SUV,3.9,6
DRV00007,Fitan Patla,+912594802398,MH35 UV 0634,Tata Nexon,SUV,3.7,1
DRV00008,Indrajit Dora,+914915951361,MH23 GN 6645,Tata Nexon,SUV,4.2,5
DRV00009,Christopher Bhatia,+912546119698,MH41 HV 7030,Toyota Innova,SUV,4.3,16
DRV00010,Viraj Ramesh,08395692142,MH27 WG 8599,Hyundai Creta,SUV,4.7,9
DRV00011,Nandini Sinha,05721051580,MH39 GZ 7791,Honda City,Sedan,4.1,4
DRV00012,Osha Lala,03005242403,MH38 CP 8788,Tata Nexon,SUV,3.5,9
DRV00013,Aarna Mani,4190021041,MH18 CS 8630,WagonR,Hatchback,4.8,14
DRV00014,Ronith Chauhan,0450548373,MH3 FE 0855,WagonR,Hatchback,4.0,4
DRV00015,Hamsini Doshi,+912507550603,MH17 KS 4509,Swift Dzire,Sedan,4.5,15
DRV00016,Amara Sami,5109119028,MH4 QB 1348,WagonR,Hatchback,4.3,13
DRV00017,Jeet Mand,04841386543,MH25 FD 9951,Swift Dzire,Sedan,4.7,16
DRV00018,Abeer Sandal,08723935482,MH19 VG 3580,WagonR,Hatchback,4.4,6
DRV00019,William Gill,04347347745,MH49 JL 3728,Tata Nexon,SUV,3.9,11
DRV00020,Hemal Viswanathan,0991576537,MH46 KF 1591,Hyundai Creta,SUV,4.8,2
DRV00021,Janya Kale,05782771736,MH21 SA 2502,Honda City,Sedan,4.2,4
